aX,aY,aZ,gX,gY,gZ
1.021,0.207,0.405,21.484,-9.827,5.920
0.952,0.132,0.302,18.066,-14.343,1.770
0.966,0.080,0.184,12.451,-13.855,2.686
0.963,0.049,0.075,5.371,-10.986,1.160
0.938,0.018,0.032,-0.122,-9.766,5.005
1.002,0.011,-0.005,-2.991,-5.981,12.085
1.069,0.026,-0.088,-5.554,-2.014,7.202
1.053,-0.001,-0.085,-8.911,-7.568,-1.648
1.029,-0.051,-0.012,-10.132,-7.812,-1.526
1.053,-0.047,-0.008,-8.850,0.427,2.380
1.067,-0.041,-0.006,-9.094,-0.427,-0.488
1.026,-0.059,0.027,-8.362,-2.991,-4.333
1.010,-0.068,0.042,-6.042,0.366,0.854
1.029,-0.049,0.028,-3.967,3.723,2.441
1.024,-0.049,0.010,-2.747,3.052,-0.366
0.995,-0.055,0.039,-2.258,-0.305,-2.808
0.992,-0.047,0.022,1.221,3.662,-1.709
1.000,-0.042,-0.014,0.244,1.343,-3.906
0.974,-0.055,-0.000,-1.221,-0.183,-5.859
0.965,-0.068,0.020,-0.977,2.136,-0.488
1.018,-0.049,0.024,-0.488,3.906,2.686
1.024,-0.040,0.004,0.671,2.808,0.061
0.996,-0.049,0.002,0.732,0.977,-3.540
0.987,-0.058,0.017,0.427,0.488,-3.479
0.994,-0.044,0.007,1.038,0.244,-3.662
0.983,-0.042,0.012,0.610,-0.854,-4.150
0.984,-0.047,0.011,0.610,-0.793,-2.563
0.987,-0.047,-0.006,0.000,-2.319,-0.671
1.010,-0.036,0.012,-2.258,-1.831,1.343

1.200,-0.663,-0.451,23.254,-3.906,-17.517
1.141,-0.926,-0.550,25.940,5.127,-36.255
1.036,-0.942,-0.156,40.161,23.254,-27.405
0.992,-0.739,-0.025,73.914,36.804,-21.362
0.936,-0.372,-0.025,115.540,28.992,-4.150
0.936,-0.002,0.048,113.037,25.085,4.700
0.991,0.370,0.274,103.210,19.958,1.038
0.947,0.486,0.300,102.478,7.385,-7.874
0.931,0.543,0.261,93.079,-3.601,-6.714
0.986,0.550,0.237,57.312,1.648,-0.183
1.033,0.413,0.312,35.828,-6.348,-7.080
0.956,0.302,0.331,25.818,-17.578,-11.597
0.945,0.192,0.265,20.142,-16.113,-7.141
0.976,0.140,0.134,11.353,-6.531,4.395
1.013,0.091,-0.010,2.625,-6.531,5.371
1.025,0.042,-0.021,-5.859,-9.583,2.014
1.007,-0.010,-0.012,-9.460,-8.972,-0.610
1.014,-0.029,-0.037,-8.423,-4.700,0.061
1.040,-0.051,-0.098,-6.775,-3.052,-3.296
1.018,-0.083,-0.124,-7.935,-7.629,-10.071
0.946,-0.138,-0.076,-10.071,-7.019,-5.432
0.999,-0.131,-0.016,-12.939,-1.465,6.714
1.065,-0.108,0.021,-6.042,-0.854,6.348
1.001,-0.108,-0.023,-0.549,-2.258,-0.183
0.971,-0.102,-0.026,-0.366,-2.747,0.549
0.973,-0.081,-0.029,0.549,0.671,5.249
1.000,-0.061,-0.035,0.061,-0.854,4.944
0.992,-0.059,-0.013,-0.305,-3.601,1.709
0.975,-0.060,-0.032,2.197,-0.916,-0.488
1.002,-0.055,-0.050,0.305,-0.793,0.183
1.006,-0.056,-0.023,-2.319,-1.221,-0.549
1.002,-0.059,-0.021,-2.869,-1.099,-0.488
1.024,-0.062,-0.011,-3.418,-1.465,-0.610
1.021,-0.062,-0.017,-2.014,2.075,-2.625
1.016,-0.060,-0.035,-2.625,-0.549,-3.601
0.993,-0.064,-0.015,-3.662,-1.160,-3.479
1.004,-0.069,-0.024,-2.563,1.648,-1.404
1.014,-0.069,-0.022,-2.869,-0.427,-1.953
0.998,-0.063,-0.020,-1.526,0.977,-1.160
1.009,-0.059,-0.032,-2.075,0.854,0.427

1.368,-0.486,-0.405,35.522,31.433,-8.423
1.247,-0.510,-0.416,47.424,27.405,-55.969
0.772,-0.465,-0.258,57.373,24.292,-62.378
0.651,-0.324,-0.209,66.223,29.480,-34.851
0.738,-0.112,-0.111,65.674,32.715,7.019
0.883,0.068,0.029,61.829,25.269,3.479
0.963,0.194,0.278,62.256,-0.732,-12.024
0.926,0.201,0.381,65.979,-24.536,-18.860
0.937,0.220,0.333,53.955,-14.954,-2.869
0.993,0.249,0.267,36.194,-7.751,4.578
1.007,0.181,0.309,24.719,-13.428,4.822
1.011,0.121,0.270,19.226,-14.648,6.714
1.020,0.069,0.153,15.198,-12.146,7.690
1.005,0.025,0.072,3.296,-13.306,5.493
1.021,-0.032,0.070,-4.150,-4.578,7.996
1.045,-0.050,0.029,-5.005,-2.258,9.644
1.063,-0.056,-0.049,-4.517,-3.418,3.784
1.047,-0.069,-0.106,-6.897,-2.869,-3.784
0.988,-0.115,-0.091,-8.606,-4.700,-9.094
0.957,-0.148,-0.080,-5.066,-4.028,-8.057
0.952,-0.146,-0.077,-5.310,-2.014,-2.686
0.988,-0.127,-0.047,-5.920,0.305,2.014
1.004,-0.136,-0.038,-0.488,-4.272,0.244
0.981,-0.135,-0.041,-1.099,-6.592,0.305
0.979,-0.128,-0.040,-4.883,-3.357,0.977
0.980,-0.127,-0.023,-6.226,-2.563,0.671
0.979,-0.129,0.003,-3.784,-2.197,0.671
0.982,-0.118,-0.026,-0.793,-1.160,1.160
0.987,-0.108,-0.053,-1.770,-1.587,0.732
0.994,-0.106,-0.030,-2.808,-1.160,-0.305
0.996,-0.112,-0.017,-1.343,-2.625,-0.977
0.999,-0.110,-0.023,-0.427,-4.578,-0.366
1.023,-0.092,-0.042,-1.831,-2.441,0.244
1.028,-0.087,-0.036,-4.028,-0.366,-1.404
1.010,-0.104,-0.013,-3.418,-3.723,-5.005
0.978,-0.111,-0.027,-3.784,-2.747,-2.319
1.001,-0.098,-0.025,-6.226,-1.709,1.465
1.015,-0.094,-0.005,-7.935,-0.916,-0.305
0.995,-0.103,0.008,-7.263,-1.953,-1.953
0.998,-0.103,0.008,-6.592,-1.343,-0.916

0.798,-1.168,-0.057,6.348,-1.343,-53.284
0.551,-1.367,0.185,37.170,-9.949,-61.340
0.381,-1.092,0.591,86.060,-22.095,-37.231
0.441,-0.633,0.557,145.508,-48.767,4.517
0.747,-0.040,0.322,174.316,-45.227,64.880
1.161,0.503,0.043,155.029,14.160,84.412
1.382,0.701,-0.187,127.197,6.226,44.617
1.397,0.629,-0.111,99.304,-28.320,6.897
1.259,0.498,0.033,76.172,-42.419,-14.526
1.148,0.414,0.063,49.438,-25.146,-5.127
1.144,0.343,0.070,33.386,-10.864,10.071
1.220,0.302,0.039,19.592,-0.183,14.771
1.188,0.253,0.015,11.230,-0.916,1.892
1.067,0.160,-0.015,6.042,-11.292,-16.296
0.982,0.087,-0.044,-0.427,-8.789,-15.686
0.927,-0.008,-0.103,-4.822,-6.226,-11.475
0.932,-0.063,-0.121,-14.343,-8.728,-3.479
0.959,-0.104,-0.087,-20.142,-6.165,1.099
0.994,-0.141,-0.029,-21.362,-2.441,4.944
1.029,-0.151,0.012,-20.935,2.136,7.324
1.055,-0.147,0.024,-16.846,3.601,3.540
1.035,-0.143,0.004,-16.052,3.052,-0.732
1.016,-0.152,-0.006,-16.052,2.563,-3.113
0.997,-0.173,-0.015,-15.076,2.441,-4.333
0.979,-0.162,0.001,-15.991,3.174,-0.854
0.999,-0.151,-0.009,-15.198,4.761,2.014
1.006,-0.157,-0.023,-12.451,2.197,-1.343
0.964,-0.178,-0.001,-10.010,0.916,-2.930
0.980,-0.168,-0.004,-8.667,5.188,1.770
1.019,-0.151,-0.003,-8.057,7.874,3.113
1.019,-0.156,-0.009,-5.066,5.127,-1.892
0.989,-0.161,-0.021,-2.869,2.686,-5.737
0.958,-0.159,-0.019,-2.686,3.296,-3.723
0.962,-0.151,-0.014,-2.380,5.310,0.671
0.993,-0.140,-0.016,-1.892,5.920,3.052
1.011,-0.136,-0.021,-1.038,3.357,-1.465
1.002,-0.138,-0.012,-1.221,0.549,-5.615
0.955,-0.139,0.013,0.183,-0.732,-6.165
0.965,-0.130,-0.006,1.526,3.662,1.770
1.006,-0.104,-0.038,-0.427,6.165,2.869

1.197,-0.749,-0.295,32.959,5.615,-27.466
1.138,-1.039,-0.176,41.504,-7.874,-80.078
0.874,-1.176,0.109,67.871,-21.729,-94.238
0.525,-1.010,0.360,106.812,-22.400,-73.853
0.464,-0.649,0.383,132.812,-13.855,-19.836
0.667,-0.148,0.296,139.954,17.883,69.824
1.146,0.494,0.117,124.695,30.334,79.529
1.292,0.651,0.055,116.089,28.870,38.635
1.238,0.532,-0.013,119.019,0.916,-9.644
1.074,0.428,0.077,88.623,-33.203,-20.874
1.031,0.352,0.087,70.435,-11.353,-1.892
1.101,0.325,-0.003,53.833,5.554,9.644
1.122,0.285,-0.032,38.879,0.488,6.836
1.083,0.212,-0.043,23.437,-9.705,-4.944
0.974,0.099,-0.110,14.587,-9.827,-7.324
0.945,0.042,-0.129,4.883,-8.484,-4.089
0.945,-0.008,-0.138,-3.296,-8.240,0.854
0.974,-0.036,-0.119,-11.292,-7.935,6.165
1.019,-0.088,-0.083,-11.902,-7.629,5.615
1.029,-0.115,-0.078,-12.329,-4.700,3.601
1.026,-0.131,-0.073,-12.512,-3.479,3.296
1.022,-0.150,-0.068,-11.963,-2.075,2.991
1.019,-0.158,-0.052,-10.864,-0.366,1.831
1.021,-0.166,-0.033,-9.155,0.610,0.122
1.010,-0.156,-0.050,-6.958,1.526,-1.892
0.995,-0.150,-0.055,-6.531,2.075,-3.296
0.981,-0.149,-0.051,-6.348,1.892,-2.563
0.984,-0.143,-0.049,-5.737,1.343,-0.916
1.000,-0.137,-0.038,-5.920,1.892,-0.244
0.992,-0.136,-0.027,-5.005,1.831,-1.587
0.974,-0.117,-0.035,-4.395,1.282,0.000
0.990,-0.104,-0.044,-4.578,2.014,1.892
1.002,-0.094,-0.050,-6.042,2.075,0.488
0.995,-0.094,-0.054,-7.080,-0.122,-0.366
0.993,-0.086,-0.036,-10.376,-1.953,1.709
0.999,-0.075,-0.031,-8.850,0.854,1.587
1.003,-0.085,-0.055,-11.169,1.587,1.831
