aX,aY,aZ,gX,gY,gZ
1.025,-0.058,0.128,-4.150,0.916,-2.808
0.992,-0.084,0.124,-4.089,3.723,-1.099
0.988,-0.072,0.150,-0.366,1.526,0.916
1.006,-0.054,0.124,2.747,2.747,3.052
0.981,-0.071,0.136,2.808,1.282,2.380
0.980,-0.086,0.142,5.005,5.493,7.935
1.029,-0.038,0.082,5.310,9.705,10.864
1.015,-0.032,0.065,2.747,2.319,2.808
1.010,-0.039,0.079,0.671,-0.732,-1.343

0.974,-0.918,0.239,64.209,-19.165,-35.828
0.845,-1.192,0.260,102.173,-26.733,-41.016
0.757,-1.479,0.410,137.573,-31.128,-37.170
0.707,-1.558,0.550,167.175,-20.752,-32.593
0.576,-1.463,0.562,208.252,-43.884,-50.049
0.489,-0.906,0.344,231.812,-84.290,-59.326
0.574,-0.151,0.089,187.012,-68.420,-51.453
0.549,0.179,0.152,105.530,-13.611,26.489
0.913,0.533,0.149,99.426,-46.387,69.824
1.660,0.987,0.526,82.153,-123.535,36.743
1.785,0.688,1.192,43.091,-77.942,31.189
1.811,0.727,0.915,47.180,42.725,46.448
1.330,0.685,0.234,36.133,38.391,13.306
1.096,0.471,0.001,28.870,18.982,-2.625
0.960,0.258,0.024,30.090,-12.085,-10.925
0.839,0.159,-0.047,28.320,3.052,11.169
0.885,0.170,-0.079,14.709,14.099,26.184
0.949,0.149,-0.110,7.629,-1.892,19.165
0.930,0.023,-0.033,-4.578,-17.761,10.193
0.967,-0.075,0.046,-8.484,-24.292,2.991
0.933,-0.152,0.077,-13.367,-18.188,-0.366
0.952,-0.190,0.100,-18.005,-4.761,10.315
1.018,-0.186,0.126,-15.137,-10.742,0.610
0.992,-0.238,0.154,-15.442,-10.620,0.122
1.067,-0.213,0.208,-9.949,-12.451,0.427
1.057,-0.174,0.182,-8.423,-1.770,1.465
1.067,-0.180,0.199,-7.812,0.366,-2.136
0.996,-0.189,0.168,-4.822,2.563,-2.930
0.992,-0.174,0.122,-5.737,5.432,-0.183
0.965,-0.179,0.139,-4.028,-3.723,-4.456
0.995,-0.172,0.151,-5.188,-4.639,-4.395
0.939,-0.226,0.153,-4.395,-2.869,-4.395
0.958,-0.208,0.146,-1.892,0.305,2.136
0.990,-0.186,0.136,1.831,-2.747,1.587
0.996,-0.184,0.135,-0.244,-2.563,0.427
0.991,-0.190,0.166,1.953,-3.540,-0.488
1.017,-0.149,0.152,5.737,-3.052,0.061
1.026,-0.158,0.143,4.150,0.671,-0.793
1.017,-0.181,0.148,2.869,0.732,-4.395
0.981,-0.190,0.132,1.953,5.737,-2.502

1.024,-0.806,0.337,61.279,-30.701,-38.025
0.949,-0.999,0.315,90.515,-44.006,-50.232
0.979,-1.045,0.284,99.365,-33.630,-49.316
0.903,-1.087,0.219,108.643,-46.570,-77.148
0.522,-1.163,0.337,120.178,-56.946,-67.505
0.479,-0.813,0.351,125.244,-45.898,-47.424
0.206,-0.339,0.031,86.548,28.076,14.526
1.000,0.190,0.147,64.758,67.871,59.570
0.883,0.393,0.005,108.337,-77.820,16.418
1.450,0.823,0.185,74.585,-55.786,62.622
1.415,0.828,0.221,28.259,-5.798,62.134
1.291,0.735,0.234,15.930,-41.382,36.133
1.364,0.708,0.214,16.174,-63.354,14.404
1.297,0.508,0.240,-9.766,-41.931,6.226
1.140,0.176,0.299,-14.893,-18.188,-4.639
1.041,0.098,0.150,7.263,-21.240,-1.404
1.047,0.023,0.181,5.981,-31.433,-3.235
1.048,-0.048,0.243,0.671,3.357,9.583
0.994,-0.112,0.193,2.686,17.700,8.484
0.937,-0.166,0.168,5.737,13.855,9.949
0.967,-0.183,0.198,13.367,-1.465,7.690
0.952,-0.185,0.176,14.709,3.418,10.071
0.944,-0.182,0.133,6.287,18.433,14.282
0.940,-0.216,0.191,6.348,8.179,10.010
0.952,-0.205,0.216,17.822,1.709,11.536
0.991,-0.125,0.137,17.334,7.690,14.465
1.034,-0.071,0.095,9.277,15.198,14.099
1.056,-0.061,0.086,1.343,6.897,1.221
0.982,-0.155,0.139,0.732,-2.258,-7.385
0.998,-0.156,0.134,4.578,-1.648,-3.174
0.999,-0.144,0.116,-0.183,9.766,1.343
0.996,-0.143,0.109,-0.183,10.864,2.869
0.992,-0.127,0.096,1.465,3.967,-1.404
0.989,-0.115,0.095,-0.122,-0.061,-4.395
0.972,-0.138,0.125,-1.831,-2.625,-7.019
0.928,-0.166,0.115,-2.625,-3.113,-7.019
0.935,-0.185,0.126,-4.517,-2.563,-3.113
0.950,-0.193,0.144,-2.136,-4.028,0.610
0.978,-0.175,0.130,-0.122,-2.258,2.563
1.018,-0.145,0.133,-0.916,-0.793,0.793

1.082,-1.202,0.381,33.386,-27.649,-26.978
0.694,-1.725,0.514,104.553,-73.669,-72.754
0.537,-1.678,0.487,139.160,-32.837,-39.917
0.540,-1.416,0.263,202.209,-38.086,-30.151
0.707,-0.975,-0.113,201.172,-48.950,-38.513
0.744,-0.618,0.029,146.118,-38.452,-44.434
0.606,-0.346,0.559,133.179,-62.073,-31.677
1.082,0.494,0.359,142.151,-80.872,14.465
1.099,0.745,0.349,62.866,-49.255,36.133
1.333,0.839,0.533,29.602,-3.052,58.716
1.298,0.830,0.342,40.710,-41.931,38.879
1.529,0.722,0.508,26.428,-58.228,25.757
1.407,0.521,0.398,0.061,10.864,23.071
1.198,0.295,0.309,13.428,-3.052,8.911
1.006,0.180,0.109,27.954,-8.118,10.925
1.035,0.131,0.037,19.348,13.000,27.588
0.964,0.087,-0.073,11.780,21.240,29.602
0.983,0.043,-0.098,4.517,19.043,24.292
1.002,-0.017,-0.045,0.122,-4.089,11.475
0.968,-0.054,-0.021,-9.888,-9.216,5.432
1.026,-0.175,0.118,-14.160,-8.118,2.991
1.012,-0.225,0.168,-6.836,0.061,7.324
1.065,-0.139,0.110,-2.991,5.066,10.376
1.020,-0.134,0.104,-5.188,8.118,7.629
1.026,-0.124,0.121,-4.395,4.028,3.906
0.961,-0.147,0.127,-4.944,3.845,2.441
0.981,-0.125,0.111,-7.019,9.216,7.202
1.015,-0.093,0.108,-4.028,1.160,1.465
1.007,-0.108,0.117,-5.920,0.854,-1.160
0.978,-0.173,0.152,-4.517,0.549,-2.075
0.970,-0.188,0.124,2.380,-0.427,-0.122
0.981,-0.159,0.102,2.258,2.075,2.686
0.989,-0.162,0.101,2.441,2.502,3.052
1.001,-0.138,0.083,5.066,1.648,3.113
0.993,-0.144,0.056,2.686,4.272,2.380
0.981,-0.150,0.072,3.784,6.897,5.920
1.003,-0.096,0.040,5.676,6.592,8.423
1.019,-0.090,0.040,1.038,-0.122,1.770
1.011,-0.120,0.082,-3.906,-1.404,-3.113
0.986,-0.150,0.099,-4.944,-2.380,-5.493

1.128,-1.109,0.198,53.162,-52.368,-51.392
0.517,-2.059,0.585,96.680,-56.641,-49.561
0.731,-2.076,0.776,147.339,6.592,2.197
0.538,-1.733,0.555,254.150,-55.603,-55.237
0.121,-0.943,0.257,252.869,-40.833,17.395
0.887,0.225,0.151,200.073,13.000,78.857
1.469,0.901,0.109,154.663,-26.001,18.433
1.059,0.873,0.022,98.083,-61.890,-13.184
1.567,0.794,0.397,33.081,-3.357,24.963
1.324,0.672,0.126,49.561,-65.063,-52.856
0.762,0.226,0.280,18.188,-73.975,-38.269
1.257,0.223,0.562,-2.319,-10.742,20.996
1.193,0.189,0.349,35.828,-58.350,-32.104
0.870,0.094,0.251,36.072,-55.725,-22.461
1.041,0.184,0.249,15.442,10.132,32.532
1.023,0.201,0.155,24.231,-2.563,26.306
0.903,0.138,0.036,11.108,9.155,36.621
1.066,0.160,0.024,9.155,6.775,34.851
1.070,0.169,0.004,2.136,-12.146,12.695
1.082,0.060,0.097,-10.864,-4.456,10.498
1.078,-0.060,0.169,-7.812,-9.521,1.953
1.014,-0.124,0.150,-2.136,-2.319,4.578
1.039,-0.080,0.060,-1.343,7.507,12.329
1.034,-0.090,0.052,-7.690,9.644,10.681
1.057,-0.071,0.069,-8.972,6.653,7.385
1.088,-0.062,0.093,-9.766,2.808,1.953
1.036,-0.129,0.129,-11.536,-0.488,-6.897
1.022,-0.148,0.180,-9.277,-2.197,-9.033
1.002,-0.154,0.181,-7.141,3.784,-6.592
0.973,-0.160,0.159,-5.127,7.812,-4.089
0.959,-0.154,0.120,-2.930,5.188,-3.113
0.953,-0.158,0.131,-3.723,4.395,-3.967
0.940,-0.187,0.177,-2.625,4.333,-2.319
0.937,-0.159,0.114,1.343,6.042,2.136
0.992,-0.127,0.091,-0.732,7.385,5.066
1.004,-0.104,0.088,-0.854,3.479,0.366
1.004,-0.099,0.072,-3.296,2.930,-3.296
0.993,-0.137,0.096,-3.296,-1.526,-6.897
0.974,-0.145,0.094,0.183,-2.930,-6.836
0.978,-0.131,0.064,-1.648,2.686,-2.808

0.882,-1.187,0.152,48.767,-60.242,-74.585
0.800,-1.499,0.334,60.852,-53.040,-80.811
0.651,-1.947,0.732,111.084,-66.711,-90.698
