aX,aY,aZ,gX,gY,gZ
0.827,-0.668,0.171,-79.590,-2.563,7.507
0.962,-0.527,-0.048,-61.768,19.592,-2.869
0.906,-0.416,-0.107,-59.570,-23.254,-12.512
0.835,-0.370,0.003,-44.250,-30.701,-7.141
0.886,-0.312,-0.050,-21.729,14.709,-4.211
1.023,-0.239,-0.160,-16.968,15.808,-8.545
1.039,-0.191,-0.143,-10.559,2.075,-1.953
1.027,-0.117,-0.099,-7.080,-16.479,6.531
0.973,-0.067,-0.050,-6.714,-17.517,3.967
0.965,0.015,-0.048,-12.207,-13.794,0.061
0.979,0.042,-0.063,-4.150,6.165,-13.855
1.028,-0.024,-0.067,1.953,10.498,-11.230
1.059,-0.017,-0.082,0.549,1.526,-1.892
1.041,0.023,-0.032,-1.648,-10.925,-0.610
0.991,0.012,0.014,0.793,-7.568,-6.165
0.977,0.004,0.013,1.953,3.418,-4.395
1.013,0.018,-0.035,2.014,2.502,-2.930
0.989,0.028,-0.016,0.854,-7.385,-2.808
0.981,0.031,0.010,1.404,-5.737,-3.662
1.006,0.034,-0.014,1.526,-1.953,-3.662
1.018,-0.001,0.007,2.747,-5.371,-4.822
0.997,-0.004,0.005,0.366,-4.456,1.526
1.011,0.026,-0.004,-3.052,-7.446,-0.122
0.987,0.016,0.006,-1.831,-8.362,-2.380
0.978,0.008,0.003,1.038,-4.395,-3.418
0.977,0.005,-0.009,1.648,-3.174,-5.005
0.999,-0.003,-0.015,2.563,-3.052,-5.493
0.998,-0.018,0.010,0.183,-4.517,-4.272
0.989,-0.012,0.021,-3.113,-3.540,-3.174
1.004,0.014,-0.002,-2.258,0.549,-3.845

1.204,1.352,0.213,-45.166,-55.176,66.650
1.020,1.660,0.255,-56.213,-57.373,103.638
0.707,1.662,0.412,-62.378,-23.621,123.169
0.524,0.969,0.891,-89.111,-7.141,66.284
0.806,0.172,0.901,-104.980,16.052,-31.982
0.906,-0.508,0.458,-128.052,59.937,-113.098
1.036,-0.825,-0.175,-136.353,49.438,-76.904
1.134,-0.786,-0.220,-120.789,-19.592,-26.855
1.053,-0.697,0.062,-89.600,-79.834,-19.287
1.019,-0.688,0.245,-75.012,-59.875,-33.752
1.016,-0.546,0.143,-59.570,-17.334,-29.297
1.034,-0.423,0.061,-41.931,-2.441,-29.785
1.018,-0.356,-0.004,-29.724,-1.343,-28.381
1.013,-0.327,0.014,-22.583,-2.014,-26.550
1.008,-0.297,0.036,-12.756,5.981,-22.644
1.074,-0.209,-0.057,-1.892,18.250,-15.686
1.098,-0.174,-0.046,5.188,12.268,-8.545
1.086,-0.150,-0.002,-3.723,-19.470,5.798
0.975,-0.016,0.081,-8.545,-24.353,6.165
0.956,0.019,0.043,2.197,5.310,-7.568
1.015,0.006,0.008,6.470,8.850,-6.958
1.062,0.002,0.033,4.395,-2.930,-1.282
1.025,0.001,0.098,2.197,-13.733,0.305
0.997,0.040,0.123,1.343,-10.620,2.563
0.987,0.049,0.137,-1.221,-0.732,-5.554
0.998,0.005,0.087,-0.854,3.052,-6.775
1.031,-0.008,0.065,0.061,2.625,-2.625
1.030,-0.007,0.079,-3.845,-6.531,0.854
0.989,0.011,0.095,-3.601,-1.648,-0.061
1.023,0.002,0.061,-1.038,4.700,-0.366
1.016,0.006,0.047,-0.977,-0.366,0.122
1.003,0.003,0.066,-1.221,-3.235,-0.732
0.990,0.008,0.069,-1.648,-0.916,-0.732
1.005,-0.002,0.073,-0.244,1.892,-2.014
1.020,-0.015,0.073,0.366,1.953,-1.465
1.008,-0.001,0.073,-1.160,0.000,0.183
0.992,0.020,0.071,-1.648,-1.038,-0.427
1.000,0.007,0.071,0.610,1.526,-3.296
1.002,-0.005,0.066,0.061,0.671,-2.686
1.020,-0.006,0.056,-1.709,-1.526,-1.953

1.479,1.168,0.141,1.099,-14.160,28.625
1.581,1.301,0.311,-53.772,-70.862,90.210
1.109,1.135,0.451,-76.721,-77.881,147.949
0.442,0.860,0.627,-92.102,-59.875,159.851
0.412,0.445,0.642,-109.680,-18.250,89.294
0.581,-0.075,0.431,-117.249,60.974,-61.890
0.943,-0.510,-0.059,-98.145,100.525,-93.567
1.382,-0.920,-0.126,-80.200,74.341,-67.993
1.334,-0.957,0.110,-98.328,-41.992,-32.288
1.117,-0.766,0.184,-100.403,-52.979,-27.832
1.082,-0.556,0.081,-67.322,-4.272,-23.132
1.101,-0.495,-0.048,-36.255,28.931,-9.277
1.039,-0.377,-0.097,-30.518,-8.423,8.545
0.897,-0.225,0.026,-26.855,-31.616,10.803
0.884,-0.149,0.054,-16.296,-21.057,13.000
0.925,-0.086,0.036,-3.784,-2.075,8.179
0.965,-0.073,0.065,-3.418,-7.507,-0.061
0.964,-0.060,0.061,-4.822,-6.042,-2.075
1.002,-0.048,0.017,-7.507,-3.052,-0.061
0.963,0.008,0.005,-7.141,-5.005,-9.827
0.961,-0.001,-0.023,-3.479,-0.916,-12.939
