aX,aY,aZ,gX,gY,gZ
0.971,-0.006,0.028,0.183,-1.465,1.709
0.976,-0.008,0.032,-1.953,0.671,1.526
0.969,-0.012,0.048,-1.892,0.305,-0.122
0.970,-0.018,0.053,-0.061,0.000,-0.793
0.971,-0.011,0.033,-0.244,-1.587,-0.488
0.973,-0.010,0.045,-1.770,-0.305,0.122
0.979,-0.015,0.066,-0.366,-1.709,-0.977
0.968,-0.013,0.036,-0.122,0.610,-0.977

1.024,0.047,-1.060,1.343,56.641,23.560
0.865,0.165,-1.213,-3.723,69.153,12.695
0.585,0.194,-1.193,-8.606,50.171,-9.277
0.128,-0.010,-0.765,-22.644,31.616,-4.578
0.531,0.040,-0.146,-11.292,0.671,36.377
1.114,0.083,0.519,19.714,-69.580,28.320
1.451,0.156,0.845,-16.357,-33.752,20.508
1.505,0.147,0.830,-19.653,-3.418,-10.376
1.111,-0.141,0.813,13.306,-42.908,-59.998
0.845,-0.245,0.677,13.550,-31.494,-2.502
1.139,0.049,0.427,-0.977,4.028,54.687
1.168,0.162,0.305,-5.798,8.362,36.316
0.953,0.099,0.157,6.165,-14.221,-10.132
0.857,0.036,0.071,3.052,-17.700,-14.343
0.899,0.010,0.098,5.249,-27.649,-16.174
0.921,-0.014,0.082,-2.563,-21.790,-5.920
0.987,-0.022,0.081,-11.047,-0.305,10.742
1.006,0.003,0.037,-3.174,-4.883,1.221
0.925,-0.001,-0.026,0.793,-7.385,-10.254
0.928,0.017,-0.052,-4.822,-8.728,-12.451
0.929,0.022,-0.040,-8.240,-4.944,-13.000
0.944,-0.012,-0.024,-6.470,-3.296,-13.184
0.914,-0.036,-0.070,-4.333,-4.211,-10.864
0.914,-0.020,-0.071,-4.272,-5.005,-4.517
0.925,-0.008,-0.042,-8.911,-1.526,1.770
0.988,-0.038,0.006,-5.066,-4.883,1.221
0.967,-0.018,-0.026,-3.662,-3.540,0.061
0.996,0.005,-0.031,-2.319,-8.362,-3.357
0.976,0.003,-0.017,-4.089,-10.315,-8.789
0.990,-0.005,-0.003,-4.822,-9.644,-10.193
0.974,-0.027,-0.011,-5.981,-9.583,-12.695
0.965,-0.085,0.026,-7.202,-5.676,-6.836
0.994,-0.079,0.025,-5.127,-0.793,1.587
0.972,-0.060,-0.014,1.099,-2.991,0.427
0.958,-0.033,-0.025,2.563,-5.798,3.601
0.972,-0.008,-0.035,1.404,-3.052,6.409
0.984,-0.007,-0.024,0.854,-6.775,2.808
0.973,-0.025,-0.001,2.380,-7.690,-0.427
0.977,-0.030,-0.001,3.906,-4.456,-0.122
0.977,-0.035,0.004,0.916,-1.282,1.160

0.746,0.075,-1.298,-19.470,46.509,41.504
0.673,0.198,-1.299,-26.062,56.335,53.406
0.724,0.319,-0.988,-28.076,22.400,17.700
0.683,0.257,-0.584,-39.856,-34.668,-57.922
0.684,-0.012,0.086,-36.072,-113.892,-136.902
0.840,-0.405,0.791,-28.870,-99.854,-86.853
1.044,-0.462,1.046,-40.161,-40.222,-2.014
1.262,-0.286,1.039,-24.658,-11.719,80.139
1.508,-0.126,0.979,5.371,-21.729,50.964
1.286,-0.001,0.707,6.531,-30.151,-0.305
1.049,-0.016,0.586,9.033,-25.757,-13.977
0.960,0.003,0.457,10.437,0.916,10.742
0.941,0.050,0.281,8.118,0.000,9.277
0.883,0.081,0.109,8.057,-6.042,0.244
0.864,0.070,0.073,7.385,-19.043,-7.874
0.884,0.013,0.082,-4.456,-15.869,-2.808
0.892,-0.023,0.058,-12.390,6.165,15.381
0.943,0.016,0.014,-7.019,-4.639,11.475
0.977,-0.005,0.014,-7.141,-11.353,-0.793
0.932,-0.029,0.009,-8.972,-7.935,-6.531
0.970,-0.055,0.031,-10.376,-6.714,-5.371
0.977,-0.081,0.060,-6.042,-5.676,-3.723
0.971,-0.087,0.022,-5.981,-1.587,-2.747
0.942,-0.073,0.037,-5.066,-3.113,1.770
0.963,-0.086,0.021,-8.606,0.610,2.136
0.936,-0.083,0.012,-2.014,-3.906,6.104
0.963,-0.043,0.025,0.977,-2.197,10.254
0.978,-0.022,0.002,0.122,-0.854,8.850
0.975,-0.021,-0.009,1.221,-7.568,5.005
0.951,-0.040,-0.016,9.399,-25.757,7.324
0.943,-0.015,-0.008,-4.700,-23.682,11.353
1.025,-0.033,0.072,-12.451,-11.414,18.372
1.060,-0.000,0.082,-7.507,0.671,11.292
1.047,0.030,0.049,-4.578,2.319,-2.319
0.962,-0.014,0.043,-2.380,-1.831,-14.282
0.949,-0.017,0.038,-4.883,3.540,-2.930
0.992,0.006,0.032,-4.578,4.517,0.305
0.974,-0.006,0.047,-2.075,-0.061,-4.578
0.971,-0.011,0.057,-2.380,0.000,-4.272
0.984,-0.011,0.053,-4.700,3.845,-2.014

0.926,-0.230,-1.068,-20.447,18.188,5.920
0.794,-0.090,-1.388,-37.476,77.515,110.168
0.766,0.251,-1.469,-41.016,105.896,153.748
1.092,0.674,-1.100,-46.265,77.332,98.511
0.886,0.516,-0.631,-22.278,-10.193,-53.284
0.618,0.007,0.217,-0.366,-133.240,-147.583
1.082,-0.461,1.298,-50.537,-68.665,-2.808
1.530,0.073,1.068,-57.068,38.269,83.618
1.456,0.221,0.835,-3.479,-38.330,-22.827
1.099,-0.029,0.803,16.663,-80.566,-87.036
0.871,-0.200,0.716,-7.324,-43.091,-71.228
